"","FTHG","FTAG","HTHG","HTAG","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","L","D","W"
"3189",1,0,1,0,15,12,5,4,19,17,3,8,3,3,0,0,0,0,1
"3190",1,0,0,0,14,6,3,2,14,12,4,2,4,3,0,0,0,0,1
"3191",1,0,1,0,9,12,3,4,5,15,4,11,0,3,0,0,0,0,1
"3192",2,1,1,1,14,9,4,3,10,10,8,3,1,1,1,0,0,0,1
"3193",1,2,0,1,6,16,3,6,16,10,1,8,2,2,0,0,1,0,0
"3194",2,0,1,0,13,5,7,2,16,20,5,2,1,2,0,0,0,0,1
"3195",0,3,0,1,8,15,3,4,11,14,5,2,1,0,0,0,1,0,0
"3196",0,0,0,0,5,15,3,4,9,10,3,11,1,2,1,0,0,1,0
"3197",0,1,0,1,8,19,3,6,15,10,5,5,3,2,0,0,1,0,0
"3198",3,0,1,0,27,10,9,5,6,14,5,5,0,2,0,0,0,0,1
"3199",3,1,0,0,13,8,4,4,8,8,0,11,0,0,0,0,0,0,1
"3200",1,0,1,0,20,8,7,2,12,15,6,1,0,2,0,0,0,0,1
"3201",0,1,0,1,6,13,2,6,12,15,5,3,2,3,0,0,1,0,0
"3202",3,0,2,0,10,14,4,2,10,11,3,8,1,0,0,0,0,0,1
"3203",2,2,2,0,16,14,7,8,9,12,9,9,2,6,0,1,0,1,0
"3204",1,0,0,0,12,9,4,4,10,9,4,11,1,2,0,0,0,0,1
"3205",0,2,0,1,10,10,1,5,9,13,2,3,3,3,0,0,1,0,0
"3206",1,0,0,0,18,16,6,5,13,9,10,6,2,4,0,0,0,0,1
"3207",1,3,1,1,10,14,5,8,6,12,7,4,0,2,0,0,1,0,0
"3208",2,1,0,1,14,6,5,1,9,13,8,1,4,2,0,0,0,0,1
"3209",2,1,1,1,30,5,9,2,10,11,11,2,1,2,0,0,0,0,1
"3210",0,1,0,0,6,11,1,4,13,9,1,6,3,1,0,0,1,0,0
"3211",1,0,0,0,26,3,11,1,11,7,6,5,2,1,0,0,0,0,1
"3212",1,0,0,0,6,8,4,2,17,18,7,3,6,5,0,0,0,0,1
"3213",3,0,1,0,14,7,4,3,13,14,5,5,1,1,0,0,0,0,1
"3214",0,3,0,0,10,16,3,6,11,14,4,7,1,0,0,0,1,0,0
"3215",0,2,0,0,7,8,2,3,14,7,3,4,3,0,0,0,1,0,0
"3216",3,1,1,0,26,7,9,4,6,9,5,5,1,1,0,0,0,0,1
"3217",1,4,0,1,14,14,7,7,10,12,8,4,0,0,0,0,1,0,0
"3218",1,1,0,1,9,10,3,4,18,17,7,3,2,4,0,0,0,1,0
"3219",4,1,2,1,20,6,6,2,9,6,8,2,0,1,0,0,0,0,1
"3220",1,4,1,1,9,17,2,5,7,16,2,10,1,4,1,0,1,0,0
"3221",2,2,1,1,13,20,4,7,10,13,5,5,2,2,0,0,0,1,0
"3222",4,1,1,0,16,11,6,3,10,8,6,2,1,1,0,0,0,0,1
"3223",4,2,1,0,18,5,7,2,12,10,8,3,3,2,0,0,0,0,1
"3224",1,0,1,0,12,25,4,5,11,8,7,7,5,3,0,0,0,0,1
"3225",1,0,1,0,5,9,1,2,12,12,4,6,2,1,0,0,0,0,1
"3226",2,1,0,0,32,9,12,2,9,14,12,2,1,1,0,0,0,0,1
"3227",1,2,1,1,10,7,1,3,13,17,8,3,1,3,1,0,1,0,0
"3228",0,3,0,2,14,11,5,6,14,9,4,3,2,0,0,0,1,0,0
"3229",2,0,1,0,22,7,7,4,9,7,8,4,1,1,0,0,0,0,1
"3230",1,4,0,3,6,19,2,6,11,6,0,3,3,0,0,0,1,0,0
"3231",3,0,0,0,17,12,6,3,5,14,10,8,0,1,0,0,0,0,1
"3232",2,1,0,0,14,11,3,3,11,11,8,8,4,3,1,0,0,0,1
"3233",0,0,0,0,9,10,1,4,10,9,2,2,3,0,0,0,0,1,0
"3234",2,2,1,1,10,21,5,15,10,10,2,5,2,3,0,0,0,1,0
"3235",3,1,0,1,8,17,5,6,5,4,7,9,0,0,0,0,0,0,1
"3236",0,2,0,0,8,13,2,6,9,13,2,1,1,2,1,0,1,0,0
"3237",3,3,2,0,12,14,6,4,10,12,4,7,3,3,1,0,0,1,0
"3238",1,2,0,1,7,11,3,4,13,14,4,5,2,1,0,0,1,0,0
"3239",2,0,1,0,17,9,5,2,10,15,7,6,1,2,0,0,0,0,1
"3240",2,0,1,0,9,11,2,2,9,8,1,6,3,2,0,0,0,0,1
"3241",1,0,0,0,9,20,3,5,14,14,2,7,1,2,0,0,0,0,1
"3242",3,1,1,1,14,8,3,6,13,11,4,5,0,1,0,0,0,0,1
"3243",0,3,0,1,7,8,2,3,8,9,3,5,1,0,0,0,1,0,0
"3244",1,3,1,3,14,14,3,6,16,11,5,2,3,1,0,0,1,0,0
"3245",0,4,0,1,12,14,3,6,12,8,3,2,2,0,0,0,1,0,0
"3246",4,0,2,0,21,3,11,0,11,12,8,0,0,2,0,0,0,0,1
"3247",0,0,0,0,12,5,5,1,15,15,3,1,3,1,0,0,0,1,0
"3248",3,0,0,0,14,10,3,1,10,14,2,2,4,2,0,0,0,0,1
